M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
5.4,0.73239376,0,0.567026366,-2.46E-01,1.530711838,1.85E-01,0.428134794,2.165807979,4
5.4,0.73239376,1,1.010723865,4.63E-03,2.116175891,3.26E-01,1.258158193,2.507018846,5
5.4,0.73239376,1,1.07371835,3.09E-02,2.128786859,3.28E-01,1.147676324,2.43381782,5
5.4,0.73239376,0,0.387389826,-4.12E-01,1.318063335,1.20E-01,0.195899652,2.111867147,5
5.4,0.73239376,0,0.380211242,-4.20E-01,1.388101202,1.42E-01,0.193124598,2.106224905,5
5.4,0.73239376,0,0.59439255,-2.26E-01,1.718418642,2.35E-01,0.689308859,2.255151851,6
5.4,0.73239376,0,0.632457292,-1.99E-01,1.751125072,2.43E-01,0.829946696,2.332054495,6
4.8,0.681241237,1,0.511883361,-2.91E-01,1.85082996,2.67E-01,0.292256071,1.901730692,5
4.8,0.681241237,1,0.485721426,-3.14E-01,1.908055874,2.81E-01,0.245512668,1.825426118,5
6.1,0.785329835,0,0.575187845,-2.40E-01,1.587374172,2.01E-01,0.421603927,2.18999534,5
6.1,0.785329835,0,0.675778342,-1.70E-01,1.752048448,2.44E-01,0.488550717,2.165303692,5
6.1,0.785329835,1,0.281033367,-5.51E-01,1.530839779,1.85E-01,0.079181246,1.836640542,4
6.1,0.785329835,1,0.451786436,-3.45E-01,1.710117365,2.33E-01,0.173186268,1.886885359,4
6.1,0.785329835,0,0.625312451,-2.04E-01,1.682235357,2.26E-01,0.361727836,2.137702167,5
6.1,0.785329835,0,0.73479983,-1.34E-01,1.736953954,2.40E-01,0.442479769,2.195013563,5
6.1,0.785329835,0,0.580924976,-2.36E-01,1.604550033,2.05E-01,0.784617293,2.540717288,5
6.1,0.785329835,0,0.64246452,-1.92E-01,1.776410589,2.50E-01,0.846337112,2.554113457,5
6,0.77815125,1,0.716003344,-1.45E-01,2.03120642,3.08E-01,0.944482672,2.282418171,6
6,0.77815125,1,0.907411361,-4.22E-02,2.199151571,3.42E-01,1.186673867,2.376668186,6
6,0.77815125,0,1.206015877,8.14E-02,2.415207136,3.83E-01,1.529173603,2.565387317,6
6,0.77815125,0,1.166726056,6.70E-02,2.478854968,3.94E-01,1.644340099,2.578673585,6
6,0.77815125,1,0.944975908,-2.46E-02,2.027797943,3.07E-01,0.815577748,2.192985379,6
6,0.77815125,1,0.939019776,-2.73E-02,2.068556895,3.16E-01,0.978636948,2.271725469,6
6,0.77815125,0,0.720159303,-1.43E-01,1.911583701,2.81E-01,0.740362689,2.257414559,6
6,0.77815125,0,0.882524538,-5.43E-02,1.997430074,3.00E-01,0.955206538,2.306339233,6
6,0.77815125,0,0.895422546,-4.80E-02,1.920592862,2.83E-01,0.63748973,2.110084423,6
6,0.77815125,0,1.015359755,6.62E-03,2.084361759,3.19E-01,0.82672252,2.150572248,6
6,0.77815125,0,0.710117365,-1.49E-01,1.881042108,2.74E-01,0.608526034,2.120639728,6
6,0.77815125,0,0.870403905,-6.03E-02,1.931915317,2.86E-01,0.717670503,2.165363051,6
6,0.77815125,0,1.018700499,8.05E-03,1.923761961,2.84E-01,0.767897616,2.158905021,6
6,0.77815125,0,1.006893708,2.98E-03,2.036309444,3.09E-01,0.806179974,2.141982516,6
6,0.77815125,0,1.108903128,4.49E-02,2.334212409,3.68E-01,1.246990699,2.423393345,6
6,0.77815125,0,1.252610341,9.78E-02,2.377342684,3.76E-01,1.468642668,2.489944424,6
6,0.77815125,0,1.236537261,9.22E-02,2.483458915,3.95E-01,1.832508913,2.732980465,6
6,0.77815125,0,1.339451441,1.27E-01,2.50516355,3.99E-01,1.773713325,2.712826413,6
6.5,0.812913357,0,0.158362492,-8.00E-01,1.193958978,7.70E-02,-0.30980392,1.708930536,4
6.5,0.812913357,0,0.271841607,-5.66E-01,1.231979027,9.06E-02,-0.283996656,1.754654069,4
6.5,0.812913357,0,0.404833717,-3.93E-01,1.236537261,9.22E-02,-0.119186408,1.875524264,5
6.5,0.812913357,0,0.50242712,-2.99E-01,1.315550534,1.19E-01,0.041392685,1.965107586,5
6.5,0.812913357,0,0.113943352,-9.43E-01,1.322632712,1.21E-01,-0.148741651,1.857332496,4
6.5,0.812913357,0,0.250420002,-6.01E-01,1.422425676,1.53E-01,-0.107905397,1.844725628,4
6.5,0.812913357,1,0.399673721,-3.98E-01,1.103461622,4.28E-02,-0.552841969,1.528145078,5
6.5,0.812913357,1,0.334453751,-4.76E-01,1.119585775,4.91E-02,-0.508638306,1.538196578,5
6.5,0.812913357,0,0.733999287,-1.34E-01,1.527243116,1.84E-01,0.672097858,2.399933182,5
6.5,0.812913357,0,0.851258349,-6.99E-02,1.534787359,1.86E-01,0.671172843,2.396338857,5
